/Users/adam/work/h2co/apex/june2013/raw/M-091.F-0019-2013/M-091.F-0019-2013-2013-06-08.apex
-------------------------------------------------------------------------------------------
Scans           Source       Telescope        Scan  Subscan [      min(RA),      max(RA) ] [     min(DEC),     max(DEC) ]        Angle      Scan PA  OTFscan
  13222-  14817 MAP_007      AP-H201-X201    46890        1 [  -258.389074,   211.653171 ] [  -212.370589,   140.925727 ]        147.8        148.4        0
  14830-  16425 MAP_007      AP-H201-X201    46890        1 [  -191.504380,   278.642727 ] [   -97.357028,   257.629754 ]        147.9        148.9        0
  16438-  17395 MAP_007      AP-H201-X201    46890        1 [  -117.136022,   326.849100 ] [    16.691419,   323.164736 ]        147.9        147.9        0
  17438-  19029 MAP_008      AP-H201-X201    46920        1 [   -24.245113,   329.785383 ] [  -323.211008,   143.648131 ]         59.4         59.5        0
  19042-  20683 MAP_008      AP-H201-X201    46920        1 [  -144.285420,   255.182844 ] [  -258.819400,   337.148756 ]         59.2         60.4        0
  20696-  22289 MAP_008      AP-H201-X201    46920        1 [  -255.293709,    98.921957 ] [  -186.424176,   284.381447 ]         59.0         56.9        0
  22302-  23261 MAP_008      AP-H201-X201    46920        1 [  -328.760942,   -22.201488 ] [  -118.252058,   326.803069 ]         59.5         59.5        0
  23274-  24867 MAP_008      AP-H201-X201    46921        1 [  -329.888612,   141.523335 ] [  -324.999835,    24.940122 ]        147.7        148.1        0
  24880-  26477 MAP_008      AP-H201-X201    46921        1 [  -254.442807,   214.058419 ] [  -217.405914,   139.455761 ]        147.8        152.9        0
  26490-  28093 MAP_008      AP-H201-X201    46921        1 [  -187.696124,   299.597566 ] [   -97.142681,   255.797105 ]        147.9        152.1        0
  28106-  29065 MAP_008      AP-H201-X201    46921        1 [  -116.232760,   324.333779 ] [    19.137193,   325.561340 ]        147.8        155.6        0
  29078-  30671 MAP_009      AP-H201-X201    46923        1 [   -26.739965,   327.878583 ] [  -326.523228,   147.472787 ]         59.0         59.8        0
  30684-  32275 MAP_009      AP-H201-X201    46923        1 [  -141.583582,   212.998249 ] [  -261.314046,   211.981180 ]         58.8         61.5        0
  32288-  33883 MAP_009      AP-H201-X201    46923        1 [  -256.299180,    97.298521 ] [  -186.699682,   282.575283 ]         59.1         57.5        0
  33896-  34853 MAP_009      AP-H201-X201    46923        1 [  -326.127961,   -14.491411 ] [  -118.638213,   322.236826 ]         58.9         60.0        0
  34866-  36461 MAP_009      AP-H201-X201    46924        1 [  -329.390019,   141.381374 ] [  -324.543840,    34.340266 ]        147.7        146.1        0
  36474-  38095 MAP_009      AP-H201-X201    46924        1 [  -257.015493,   287.128800 ] [  -213.624300,   141.878863 ]        147.8        146.0        0
  38108-  39709 MAP_009      AP-H201-X201    46924        1 [  -192.487699,   277.319645 ] [   -98.315668,   257.457946 ]        147.8        149.3        0
  39722-  40679 MAP_009      AP-H201-X201    46924        1 [  -112.883729,   325.217987 ] [    16.476589,   324.523573 ]        147.8        146.5        0
  40722-  42317 MAP_010      AP-H201-X201    47120        1 [   -23.437422,   328.682974 ] [  -326.272059,   145.215900 ]         59.2         60.7        0
  42330-  43927 MAP_010      AP-H201-X201    47120        1 [  -143.485519,   212.461092 ] [  -261.653005,   210.904561 ]         59.1         55.9        0
  43940-  45539 MAP_010      AP-H201-X201    47120        1 [  -254.990409,   103.508862 ] [  -187.100124,   284.338657 ]         58.9         60.7        0
  45552-  46507 MAP_010      AP-H201-X201    47120        1 [  -326.874241,   -21.320474 ] [  -118.104285,   326.815603 ]         59.1         61.5        0
  46520-  48115 MAP_010      AP-H201-X201    47121        1 [  -342.096244,   142.561198 ] [  -321.292851,    26.440273 ]        148.0        147.3        0
  48128-  49721 MAP_010      AP-H201-X201    47121        1 [  -256.132054,   215.151823 ] [  -214.541092,   140.408812 ]        147.9        155.0        0
  49734-  51325 MAP_010      AP-H201-X201    47121        1 [  -187.139301,   281.844274 ] [   -95.999061,   262.159666 ]        147.8        149.7        0
  51338-  52295 MAP_010      AP-H201-X201    47121        1 [  -114.582521,   329.886067 ] [    16.727745,   327.073784 ]        147.7        149.8        0
  52326-  53917 MAP_011      AP-H201-X201    47126        1 [   -23.977233,   328.153381 ] [  -325.157164,   144.572704 ]         59.3         55.0        0
  53930-  55525 MAP_011      AP-H201-X201    47126        1 [  -142.714121,   212.130033 ] [  -262.529793,   209.867946 ]         59.2         62.1        0
  55538-  57135 MAP_011      AP-H201-X201    47126        1 [  -253.327840,   100.628229 ] [  -187.829380,   286.572337 ]         59.0         61.0        0
  57148-  58101 MAP_011      AP-H201-X201    47126        1 [  -326.505459,   -19.446426 ] [  -114.825586,   322.779169 ]         59.5         59.7        0
  58114-  59709 MAP_011      AP-H201-X201    47127        1 [  -327.106873,   141.542377 ] [  -328.390575,    26.633092 ]        147.7        151.8        0
  59722-  61317 MAP_011      AP-H201-X201    47127        1 [  -264.113506,   212.157983 ] [  -212.098409,   139.937737 ]        148.0        143.5        0
  61330-  62933 MAP_011      AP-H201-X201    47127        1 [  -185.903839,   280.144558 ] [   -97.441389,   256.205316 ]        147.8        145.7        0
  62946-  63907 MAP_011      AP-H201-X201    47127        1 [  -117.566576,   326.260509 ] [    13.982216,   324.463494 ]        147.8        148.8        0
  63958-  65553 MAP_012      AP-H201-X201    47143        1 [   -25.510676,   328.253032 ] [  -327.420499,   142.333957 ]         59.0         59.6        0
  65566-  67163 MAP_012      AP-H201-X201    47143        1 [  -144.852676,   209.641774 ] [  -258.277128,   213.628838 ]         59.1         61.0        0
  67176-  68775 MAP_012      AP-H201-X201    47143        1 [  -254.155474,    99.537466 ] [  -182.826760,   285.015926 ]         59.0         58.9        0
  68788-  69747 MAP_012      AP-H201-X201    47143        1 [  -324.738292,   -17.777597 ] [  -121.416530,   325.771665 ]         59.1         59.6        0
  69760-  71351 MAP_012      AP-H201-X201    47144        1 [  -328.703529,   141.234562 ] [  -326.252537,    24.714005 ]        147.7        150.3        0
  71364-  72971 MAP_012      AP-H201-X201    47144        1 [  -255.033463,   212.177385 ] [  -212.812657,   141.067640 ]        147.9        150.6        0
  72984-  74573 MAP_012      AP-H201-X201    47144        1 [  -185.462888,   282.037430 ] [   -97.295034,   255.491067 ]        147.8        144.3        0
/Users/adam/work/h2co/apex/april2014/E-093.C-0144A.2014OCT08/E-093.C-0144A-2014-2014-10-07.apex
-----------------------------------------------------------------------------------------------
Scans           Source       Telescope        Scan  Subscan [      min(RA),      max(RA) ] [     min(DEC),     max(DEC) ]        Angle      Scan PA  OTFscan
     12-   1609 MAP_019      AP-H201-X201    71163        1 [  -332.536746,   141.145644 ] [  -328.431613,    27.612500 ]        147.9          0.0     1608
   1622-   3225 MAP_019      AP-H201-X201    71163        1 [  -257.660874,   216.741539 ] [  -216.024457,   136.847716 ]        148.0          0.0     3222
   3238-   4831 MAP_019      AP-H201-X201    71163        1 [  -193.211480,   284.319351 ] [   -97.617652,   258.893622 ]        147.9          0.0     4826
   4844-   5799 MAP_019      AP-H201-X201    71163        1 [  -111.208685,   324.527319 ] [    14.912447,   325.332238 ]        147.8        146.0     5792
   5816-   7417 MAP_031      AP-H201-X201    71168        1 [   -23.533127,   331.338264 ] [  -328.435310,   144.939841 ]         59.3         58.2        0
   7430-   9027 MAP_031      AP-H201-X201    71168        1 [  -143.057955,   210.895268 ] [  -256.857660,   208.692132 ]         58.9         60.8        0
   9040-  10639 MAP_031      AP-H201-X201    71168        1 [  -256.267172,    98.439104 ] [  -187.579039,   282.181552 ]         58.9         58.2        0
  10652-  11615 MAP_031      AP-H201-X201    71168        1 [  -326.354325,   -17.634762 ] [  -121.226484,   324.972004 ]         58.9         59.4        0
  11628-  13225 MAP_031      AP-H201-X201    71169        1 [  -330.363241,   141.270593 ] [  -324.728567,    26.410098 ]        147.7        148.6        0
  13238-  14837 MAP_031      AP-H201-X201    71169        1 [  -257.850356,   213.549621 ] [  -215.456468,   139.837690 ]        147.9        150.5        0
  14850-  16447 MAP_031      AP-H201-X201    71169        1 [  -191.051278,   283.070707 ] [   -98.549579,   258.416592 ]        148.0        149.0        0
  16460-  17419 MAP_031      AP-H201-X201    71169        1 [  -116.975559,   329.590402 ] [    14.687445,   320.668985 ]        147.9        151.5        0
  17458-  19051 MAP_032      AP-H201-X201    71417        1 [   -25.920825,   328.596169 ] [  -322.190794,   154.645190 ]         59.2         60.3        0
  19064-  20699 MAP_032      AP-H201-X201    71417        1 [  -163.287476,   208.706948 ] [  -400.192237,   210.504539 ]         59.0         57.2        0
  20712-  22311 MAP_032      AP-H201-X201    71417        1 [  -254.240166,    99.249840 ] [  -186.356785,   285.082008 ]         59.1         61.4        0
  22324-  23281 MAP_032      AP-H201-X201    71417        1 [  -327.061490,   -18.277761 ] [  -121.799203,   323.360437 ]         58.9         58.4        0
  23294-  24973 MAP_032      AP-H201-X201    71418        1 [  -333.115684,   427.020481 ] [  -446.425129,    28.456083 ]        147.8        146.5        0
  24986-  26585 MAP_032      AP-H201-X201    71418        1 [  -255.128864,   219.383382 ] [  -213.674798,   141.195182 ]        147.8        148.8        0
  26598-  28189 MAP_032      AP-H201-X201    71418        1 [  -186.108101,   280.397864 ] [   -97.013807,   256.706670 ]        147.7        147.3        0
  28202-  29159 MAP_032      AP-H201-X201    71418        1 [  -116.358477,   323.627023 ] [    13.106598,   325.929954 ]        147.8        149.8        0
  29172-  30765 MAP_023      AP-H201-X201    71420        1 [   -22.904059,   332.245788 ] [  -327.319047,   145.607361 ]         58.9         57.8        0
  30778-  32373 MAP_023      AP-H201-X201    71420        1 [  -146.915484,   210.748192 ] [  -257.192129,   209.919045 ]         59.2         60.7        0
  32386-  33983 MAP_023      AP-H201-X201    71420        1 [  -253.682166,   100.359740 ] [  -188.061040,   285.111231 ]         58.9         58.2        0
  33996-  34957 MAP_023      AP-H201-X201    71420        1 [  -326.012845,   -17.192609 ] [  -128.888379,   322.928623 ]         58.9         60.7        0
  34970-  36571 MAP_023      AP-H201-X201    71421        1 [  -328.838719,   136.806006 ] [  -324.700352,    26.733377 ]        147.8        148.2        0
  36584-  38179 MAP_023      AP-H201-X201    71421        1 [  -257.300328,   226.360924 ] [  -216.055265,   134.136742 ]        147.9        148.5        0
  38192-  39785 MAP_023      AP-H201-X201    71421        1 [  -186.745365,   282.299669 ] [   -95.410896,   258.174331 ]        147.9        148.6        0
  39798-  40755 MAP_023      AP-H201-X201    71421        1 [  -114.002226,   329.925111 ] [    13.197310,   326.407921 ]        147.9        148.8        0
  40790-  42387 MAP_056      AP-H201-X201    71449        1 [   -24.569249,   330.581922 ] [  -328.609784,   143.849415 ]         59.2         60.1        0
  42400-  44011 MAP_056      AP-H201-X201    71449        1 [  -150.413308,   210.793239 ] [  -263.142421,   211.960073 ]         59.1         58.0        0
  44024-  45625 MAP_056      AP-H201-X201    71449        1 [  -255.326630,   100.264681 ] [  -187.040466,   284.090969 ]         59.1         57.6        0
  45638-  46595 MAP_056      AP-H201-X201    71449        1 [  -330.292212,   -18.231707 ] [  -121.056740,   323.838572 ]         59.2         59.9        0
  46608-  48201 MAP_056      AP-H201-X201    71450        1 [  -328.232286,   139.966156 ] [  -325.376373,    26.217171 ]        147.6        147.4        0
  48214-  49809 MAP_056      AP-H201-X201    71450        1 [  -255.258147,   211.511738 ] [  -212.833980,   142.497037 ]        147.7        152.1        0
  49822-  51421 MAP_056      AP-H201-X201    71450        1 [  -190.162616,   285.841568 ] [   -94.070657,   260.473541 ]        147.8        149.1        0
  51434-  52395 MAP_056      AP-H201-X201    71450        1 [  -116.673736,   331.782036 ] [    15.435033,   326.752331 ]        147.6        149.4        0
  52416-  54007 MAP_022      AP-H201-X201    71461        1 [   -23.881549,   331.493480 ] [  -328.229092,   144.279297 ]         59.2         59.4        0
  54020-  55617 MAP_022      AP-H201-X201    71461        1 [  -143.774088,   211.294618 ] [  -254.954823,   215.254524 ]         59.2         60.5        0
  55630-  57277 MAP_022      AP-H201-X201    71461        1 [  -325.379759,   100.828216 ] [  -320.041061,   281.656257 ]         59.2         58.0        0
  57290-  58253 MAP_022      AP-H201-X201    71461        1 [  -331.155409,   -17.228834 ] [  -120.467032,   324.575800 ]         59.1         55.5        0
  58266-  59861 MAP_022      AP-H201-X201    71462        1 [  -327.391636,   143.434145 ] [  -327.638964,    28.860034 ]        147.8        150.5        0
/Users/adam/work/h2co/apex/april2014/M-093.F-0009-2014-2014-04/M-093.F-0009-2014-2014-05-13.apex
------------------------------------------------------------------------------------------------
Scans           Source       Telescope        Scan  Subscan [      min(RA),      max(RA) ] [     min(DEC),     max(DEC) ]        Angle      Scan PA  OTFscan
     42-   1631 MAP_057      AP-H201-X201    24180        1 [   -23.008085,   329.279322 ] [  -322.535660,   146.001645 ]         59.3         64.1        0
   1644-   3239 MAP_057      AP-H201-X201    24180        1 [  -142.772892,   208.001896 ] [  -259.662403,   212.341918 ]         59.2         60.3        0
   3252-   4847 MAP_057      AP-H201-X201    24180        1 [  -254.064780,    99.011037 ] [  -185.527541,   285.726837 ]         58.9         58.2        0
   4860-   5819 MAP_057      AP-H201-X201    24180        1 [  -329.700355,   -21.058518 ] [  -116.580880,   326.666991 ]         58.9         56.6        0
   5832-   7433 MAP_057      AP-H201-X201    24181        1 [  -330.222000,   140.390683 ] [  -323.740505,    30.729911 ]        147.9        144.9        0
   7446-   9045 MAP_057      AP-H201-X201    24181        1 [  -257.963863,   219.745512 ] [  -215.009358,   142.387109 ]        147.9        142.9        0
   9058-  10661 MAP_057      AP-H201-X201    24181        1 [  -186.336458,   280.885268 ] [   -96.688631,   256.921197 ]        147.8        150.5        0
  10674-  11633 MAP_057      AP-H201-X201    24181        1 [  -118.383718,   330.655255 ] [    18.251156,   326.912877 ]        147.7        147.7        0
  11680-  13281 MAP_057      AP-H201-X201    24189        1 [   -23.352477,   327.639972 ] [  -326.949328,   145.632815 ]         59.1         57.7        0
  13294-  14891 MAP_057      AP-H201-X201    24189        1 [  -144.149990,   212.486137 ] [  -261.359022,   215.267971 ]         59.0         56.0        0
  14904-  16505 MAP_057      AP-H201-X201    24189        1 [  -255.525813,    98.148698 ] [  -184.322696,   283.452384 ]         59.2         59.4        0
  16518-  17475 MAP_057      AP-H201-X201    24189        1 [  -327.033828,   -18.041521 ] [  -114.380193,   331.461783 ]         59.0         59.3        0
  17488-  19099 MAP_057      AP-H201-X201    24190        1 [  -326.602733,   147.661033 ] [  -339.710854,    24.607330 ]        147.7        148.3        0
  19112-  20715 MAP_057      AP-H201-X201    24190        1 [  -253.646916,   210.448374 ] [  -213.607803,   142.301048 ]        147.8        150.5        0
  20728-  22325 MAP_057      AP-H201-X201    24190        1 [  -190.646777,   282.872533 ] [   -98.692608,   259.552186 ]        147.7        145.4        0
  22338-  23299 MAP_057      AP-H201-X201    24190        1 [  -113.379801,   331.688292 ] [    17.095488,   325.437556 ]        147.8        144.3        0
  23342-  24943 MAP_058      AP-H201-X201    24195        1 [   -24.095623,   331.635393 ] [  -327.932851,   143.985397 ]         59.1         55.9        0
  24956-  26553 MAP_058      AP-H201-X201    24195        1 [  -142.941555,   210.584356 ] [  -257.031390,   211.186274 ]         58.9         57.2        0
  26566-  28163 MAP_058      AP-H201-X201    24195        1 [  -253.648309,   102.094449 ] [  -187.101193,   285.985042 ]         59.0         60.7        0
  28176-  29133 MAP_058      AP-H201-X201    24195        1 [  -327.635770,   -19.039568 ] [  -122.617377,   324.392562 ]         58.9         62.8        0
  29146-  30745 MAP_058      AP-H201-X201    24196        1 [  -330.914421,   141.010131 ] [  -325.055976,    29.709508 ]        147.7        149.8        0
  30758-  32363 MAP_058      AP-H201-X201    24196        1 [  -257.062990,   217.253027 ] [  -215.353575,   142.792846 ]        147.9        148.8        0
  32376-  33975 MAP_058      AP-H201-X201    24196        1 [  -188.272073,   281.214766 ] [   -95.483761,   260.670995 ]        147.8        149.8        0
  33988-  34951 MAP_058      AP-H201-X201    24196        1 [  -115.002774,   328.870775 ] [    16.517679,   321.650924 ]        147.9        147.8        0
  34994-  36591 MAP_058      AP-H201-X201    24201        1 [   -22.630972,   329.562548 ] [  -328.326270,   145.694310 ]         59.2         58.6        0
  36604-  38205 MAP_058      AP-H201-X201    24201        1 [  -141.477255,   212.052449 ] [  -256.207669,   211.087919 ]         59.0         58.7        0
  38218-  39815 MAP_058      AP-H201-X201    24201        1 [  -256.834512,   101.921968 ] [  -187.113487,   282.198385 ]         59.0         57.8        0
  39828-  40787 MAP_058      AP-H201-X201    24201        1 [  -333.747762,   -17.658983 ] [  -122.580494,   326.814547 ]         59.0         57.9        0
  40800-  42395 MAP_058      AP-H201-X201    24202        1 [  -330.138005,   142.126742 ] [  -324.527319,    30.139810 ]        147.8        149.6        0
  42408-  44007 MAP_058      AP-H201-X201    24202        1 [  -257.630931,   212.427330 ] [  -216.165002,   140.481510 ]        147.7        147.6        0
  44020-  45617 MAP_058      AP-H201-X201    24202        1 [  -187.322863,   283.887584 ] [   -94.438742,   259.552210 ]        147.8        149.1        0
  45630-  46593 MAP_058      AP-H201-X201    24202        1 [  -115.594055,   329.991169 ] [    16.837332,   326.421128 ]        147.8        148.8        0
  46636-  48235 MAP_032      AP-H201-X201    24226        1 [   -26.182341,   329.731379 ] [  -325.872949,   148.670141 ]         59.3         57.7        0
  48248-  49841 MAP_032      AP-H201-X201    24226        1 [  -142.803712,   207.309763 ] [  -260.473205,   212.631459 ]         59.0         58.9        0
  49854-  51457 MAP_032      AP-H201-X201    24226        1 [  -255.112176,    99.424434 ] [  -183.529087,   284.590234 ]         59.1         58.6        0
  51470-  52431 MAP_032      AP-H201-X201    24226        1 [  -326.800451,   -21.331877 ] [  -116.660169,   323.704679 ]         59.1         59.6        0
  52444-  54037 MAP_032      AP-H201-X201    24227        1 [  -330.898693,   142.540380 ] [  -324.729575,    29.015475 ]        147.6        147.7        0
  54050-  55651 MAP_032      AP-H201-X201    24227        1 [  -257.833451,   219.295929 ] [  -214.627609,   141.766869 ]        147.7        145.2        0
  55664-  57253 MAP_032      AP-H201-X201    24227        1 [  -186.369692,   280.317447 ] [   -98.064973,   256.460783 ]        147.7        149.2        0
  57266-  58227 MAP_032      AP-H201-X201    24227        1 [  -115.831945,   329.554336 ] [    13.413957,   326.526230 ]        147.7        148.2        0
  58270-  59865 MAP_032      AP-H201-X201    24232        1 [   -27.053624,   328.945598 ] [  -321.883436,   146.684605 ]         59.0         60.1        0
  59878-  61479 MAP_032      AP-H201-X201    24232        1 [  -144.197462,   212.285609 ] [  -263.079605,   214.592407 ]         59.0         60.8        0
  61492-  63083 MAP_032      AP-H201-X201    24232        1 [  -253.021586,    98.289584 ] [  -184.512634,   286.372914 ]         58.8         59.0        0
  63096-  64051 MAP_032      AP-H201-X201    24232        1 [  -324.623321,   -21.331676 ] [  -118.485878,   325.014026 ]         59.0         61.7        0
  64064-  65657 MAP_032      AP-H201-X201    24233        1 [  -332.817859,   140.358554 ] [  -329.173979,    25.462411 ]        147.6        149.7        0
  65670-  67265 MAP_032      AP-H201-X201    24233        1 [  -256.262729,   212.673001 ] [  -214.639903,   140.525140 ]        147.9        149.8        0
  67278-  68875 MAP_032      AP-H201-X201    24233        1 [  -188.551229,   280.752599 ] [   -96.571210,   260.308912 ]        147.6        147.0        0
  68888-  69845 MAP_032      AP-H201-X201    24233        1 [  -115.922028,   326.852030 ] [    16.383040,   323.428056 ]        147.8        146.7        0
  69888-  71487 MAP_031      AP-H201-X201    24238        1 [   -23.881539,   326.712182 ] [  -329.006997,   144.841486 ]         59.2         58.3        0
  71500-  73095 MAP_031      AP-H201-X201    24238        1 [  -140.707550,   209.324570 ] [  -257.853502,   215.380253 ]         59.2         57.8        0
  73108-  74707 MAP_031      AP-H201-X201    24238        1 [  -255.135732,   102.975823 ] [  -184.025975,   284.431417 ]         59.0         59.4        0
  74720-  75677 MAP_031      AP-H201-X201    24238        1 [  -328.529799,   -21.210454 ] [  -117.851687,   326.330529 ]         59.0         59.6        0
  75690-  77295 MAP_031      AP-H201-X201    24239        1 [  -325.917012,   141.622314 ] [  -328.048039,    34.696484 ]        147.7        145.4        0
  77308-  78907 MAP_031      AP-H201-X201    24239        1 [  -254.979387,   215.988487 ] [  -214.460627,   136.868607 ]        147.8        151.0        0
  78920-  80517 MAP_031      AP-H201-X201    24239        1 [  -198.900674,   279.156784 ] [   -93.035567,   256.308113 ]        147.7        146.1        0
  80530-  81489 MAP_031      AP-H201-X201    24239        1 [  -117.583037,   325.320160 ] [    14.828830,   324.504819 ]        147.8        146.0        0
  81502-  83093 MAP_031      AP-H201-X201    24241        1 [   -24.316988,   328.544999 ] [  -326.394450,   144.761573 ]         58.9         59.4        0
  83106-  84709 MAP_031      AP-H201-X201    24241        1 [  -140.271990,   210.982481 ] [  -256.753158,   213.960257 ]         59.3         58.3        0
  84722-  86321 MAP_031      AP-H201-X201    24241        1 [  -252.437701,    98.788232 ] [  -186.890556,   288.150455 ]         59.0         58.7        0
/Users/adam/work/h2co/apex/april2014/M-093.F-0009-2014-2014-07-13.apex
----------------------------------------------------------------------
Scans           Source       Telescope        Scan  Subscan [      min(RA),      max(RA) ] [     min(DEC),     max(DEC) ]        Angle      Scan PA  OTFscan
     12-   1601 MAP_028      AP-H201-X201    40489        1 [  -327.180303,   139.022409 ] [  -327.155354,    27.794547 ]        147.7          0.0     1600
   1614-   3205 MAP_028      AP-H201-X201    40489        1 [  -256.666570,   215.903195 ] [  -214.072010,   139.814434 ]        147.8          0.0     3202
   3218-   4815 MAP_028      AP-H201-X201    40489        1 [  -191.912446,   283.712726 ] [   -97.712225,   257.649540 ]        147.8          0.0     4810
   4828-   5789 MAP_028      AP-H201-X201    40489        1 [  -113.410333,   330.187878 ] [    16.453018,   326.768323 ]        147.9        146.4     5782
   5832-   7425 MAP_028      AP-H201-X201    40494        1 [   -25.004472,   332.103274 ] [  -328.126607,   143.496589 ]         58.8         57.3        0
   7438-   9043 MAP_028      AP-H201-X201    40494        1 [  -144.139508,   211.706070 ] [  -286.774593,   208.048024 ]         59.0         57.5        0
   9056-  10659 MAP_028      AP-H201-X201    40494        1 [  -252.820554,    99.691866 ] [  -181.307593,   290.493871 ]         59.1         59.5        0
  10672-  11629 MAP_028      AP-H201-X201    40494        1 [  -329.258599,   -21.219976 ] [  -117.555290,   326.448670 ]         58.9         61.1        0
  11642-  13245 MAP_028      AP-H201-X201    40495        1 [  -325.618850,   141.366150 ] [  -328.642970,    34.285959 ]        147.7        153.4        0
  13258-  14847 MAP_028      AP-H201-X201    40495        1 [  -256.579549,   213.996035 ] [  -214.539195,   139.648460 ]        147.8        148.4        0
  14860-  16455 MAP_028      AP-H201-X201    40495        1 [  -190.436825,   279.637152 ] [   -93.685828,   258.866680 ]        147.7        150.7        0
  16468-  17423 MAP_028      AP-H201-X201    40495        1 [  -110.805565,   325.592004 ] [    14.848607,   324.500017 ]        147.7        147.8        0
  17496-  19103 MAP_026      AP-H201-X201    40535        1 [   -27.104585,   331.206508 ] [  -331.274919,   147.571190 ]         59.3         58.1        0
  19116-  20723 MAP_026      AP-H201-X201    40535        1 [  -143.666200,   208.093095 ] [  -274.210737,   214.815098 ]         59.2         63.8        0
  20736-  22335 MAP_026      AP-H201-X201    40535        1 [  -257.325806,    97.611463 ] [  -186.736517,   288.341401 ]         59.4         56.9        0
  22348-  23311 MAP_026      AP-H201-X201    40535        1 [  -327.827437,   -20.115126 ] [  -123.088716,   337.832269 ]         59.0         64.3        0
  23324-  24935 MAP_026      AP-H201-X201    40536        1 [  -333.986037,   142.643141 ] [  -327.893975,    25.789606 ]        147.7        146.5        0
  24948-  26547 MAP_026      AP-H201-X201    40536        1 [  -258.297947,   216.713133 ] [  -215.456084,   138.473378 ]        147.7        150.3        0
  26560-  28163 MAP_026      AP-H201-X201    40536        1 [  -190.807540,   285.007978 ] [   -98.850418,   256.234731 ]        147.6        155.3        0
  28176-  29135 MAP_026      AP-H201-X201    40536        1 [  -111.214268,   324.353277 ] [    16.027898,   326.207970 ]        147.7        148.7        0
  29178-  30773 MAP_027      AP-H201-X201    40541        1 [   -24.782799,   328.052385 ] [  -326.274244,   143.258914 ]         59.1         58.3        0
  30786-  32389 MAP_027      AP-H201-X201    40541        1 [  -143.881579,   210.037618 ] [  -257.610352,   215.186953 ]         59.2         57.4        0
  32402-  34001 MAP_027      AP-H201-X201    40541        1 [  -256.963459,    97.530547 ] [  -184.612705,   281.600981 ]         59.2         55.7        0
  34014-  34973 MAP_027      AP-H201-X201    40541        1 [  -328.725596,   -21.175562 ] [  -116.790976,   327.348222 ]         59.2         60.7        0
  34986-  36581 MAP_027      AP-H201-X201    40542        1 [  -331.155265,   140.550546 ] [  -323.428104,    29.972708 ]        147.6        149.5        0
  36594-  37553 MAP_027      AP-H201-X201    40542        1 [  -256.813861,   186.399923 ] [  -215.213319,    94.382758 ]        147.7        150.8        0
  37566-  39169 MAP_027      AP-H201-X201    40546        1 [  -334.103266,   141.935952 ] [  -329.440037,    29.806734 ]        147.6        150.2        0
  39182-  40779 MAP_027      AP-H201-X201    40546        1 [  -256.894279,   218.215755 ] [  -211.574194,   142.183159 ]        147.8        149.0        0
  40792-  42391 MAP_027      AP-H201-X201    40546        1 [  -185.275411,   282.064564 ] [   -98.429385,   260.184240 ]        147.7        140.9        0
  42404-  43359 MAP_027      AP-H201-X201    40546        1 [  -114.222551,   325.800912 ] [    17.881224,   324.452905 ]        147.8        152.3        0
  43420-  45013 MAP_027      AP-H201-X201    40556        1 [   -24.782719,   327.358163 ] [  -327.479089,   142.945409 ]         59.1         59.0        0
  45026-  46629 MAP_027      AP-H201-X201    40556        1 [  -144.574061,   211.685324 ] [  -256.466979,   213.656308 ]         59.1         59.9        0
  46642-  48245 MAP_027      AP-H201-X201    40556        1 [  -256.356426,    98.311124 ] [  -188.891136,   281.668600 ]         58.9         57.8        0
  48258-  49217 MAP_027      AP-H201-X201    40556        1 [  -327.774105,   -19.180987 ] [  -116.053316,   325.731516 ]         59.1         58.6        0
  49230-  50831 MAP_027      AP-H201-X201    40557        1 [  -331.849631,   135.784988 ] [  -329.231033,    27.181892 ]        147.7        153.2        0
  50844-  52449 MAP_027      AP-H201-X201    40557        1 [  -258.114204,   218.475521 ] [  -211.820081,   141.593031 ]        147.7        148.2        0
  52462-  54063 MAP_027      AP-H201-X201    40557        1 [  -185.969405,   285.696149 ] [   -97.765490,   258.124938 ]        147.7        149.5        0
  54076-  55041 MAP_027      AP-H201-X201    40557        1 [  -119.603186,   326.494125 ] [    14.113008,   323.795157 ]        147.7        152.0        0
  55084-  56685 MAP_026      AP-H201-X201    40562        1 [   -26.498017,   326.690331 ] [  -328.846787,   147.884696 ]         59.0         58.0        0
  56698-  58295 MAP_026      AP-H201-X201    40562        1 [  -144.099264,   208.004873 ] [  -259.869389,   214.630683 ]         59.0         61.7        0
  58308-  59909 MAP_026      AP-H201-X201    40562        1 [  -256.546219,   105.943226 ] [  -188.513049,   282.015963 ]         59.2         58.3        0
  59922-  60881 MAP_026      AP-H201-X201    40562        1 [  -328.780104,   -17.946002 ] [  -113.941727,   327.363638 ]         59.2         55.9        0
  60894-  62497 MAP_026      AP-H201-X201    40563        1 [  -331.818271,   138.658106 ] [  -328.822198,    28.598863 ]        147.7        151.1        0
  62510-  64109 MAP_026      AP-H201-X201    40563        1 [  -255.962646,   212.033767 ] [  -214.085265,   140.981424 ]        147.8        146.0        0
  64122-  65721 MAP_026      AP-H201-X201    40563        1 [  -184.300520,   283.794896 ] [   -97.215270,   254.550406 ]        147.7        150.5        0
  65734-  66693 MAP_026      AP-H201-X201    40563        1 [  -116.767948,   331.373730 ] [    19.199838,   325.568664 ]        147.6        147.9        0
  66766-  68367 MAP_025      AP-H201-X201    40864        1 [   -25.858192,   331.152936 ] [  -328.906337,   141.087847 ]         59.3         57.3        0
