!MOLECULE
        HD          
!MOLECULAR WEIGHT
   3.0
!NUMBER OF ENERGY LEVELS
   9
!LEVEL + ENERGIES(cm^-1) + WEIGHT
    1      0.0000    1.0
    2     88.9650    3.0
    3    266.8949    5.0
    4    532.3997    7.0
    5    883.3943    9.0
    6   1317.0986   11.0
    7   1832.1223   13.0
    8   2424.2954   15.0
    9   3089.4476   17.0
!NUMBER OF RADIATIVE TRANSITIONS
     8
!TRANS + UP + LOW + EINSTEINA(s^-1) + FREQ(GHz) + E_u(K)
     1    2    1  5.100E-08      2667.1026959      128.00
     2    3    2  4.900E-07      5334.2053918      384.00
     3    4    3  1.700E-06      7959.6346081      766.00
     4    5    4  4.100E-06     10522.5536049     1271.00
     5    6    5  7.900E-06     13002.1256425     1895.00
     6    7    6  1.300E-05     15440.0242005     2636.00
     7    8    7  2.000E-05     17752.9023196     3488.00
     8    9    8  2.900E-04     19940.7599998     4445.00
!NUMBER OF COLL PARTNERS
4
!COLLISIONS BETWEEN
5 HD + H         
!NUMBER OF COLL TRANS
   36
!NUMBER OF COLL TEMPS
 40
!COLL TEMPS
     5.0    10.0    20.0    30.0    40.0    50.0    60.0    70.0    80.0    90.0   100.0   150.0   200.0   250.0   300.0   350.0   400.0   450.0   500.0   550.0   600.0   650.0   700.0   750.0   800.0   850.0   900.0   950.0  1000.0  2000.0  3000.0  4000.0  5000.0  6000.0  7000.0  8000.0  9000.0 10000.0 12500.0 15000.0
!TRANS + UP + LOW + COLLRATES(cm^3 s^-1)
    11     6     1  2.462E-15  2.543E-15  2.713E-15  2.892E-15  3.080E-15  3.278E-15  3.486E-15  3.705E-15  3.934E-15  4.175E-15  4.427E-15  5.876E-15  7.674E-15  9.870E-15  1.252E-14  1.567E-14  1.938E-14  2.369E-14  2.866E-14  3.435E-14  4.078E-14  4.802E-14  5.610E-14  6.505E-14  7.493E-14  8.575E-14  9.754E-14  1.103E-13  1.242E-13  6.237E-13  1.478E-12  2.524E-12  3.634E-12  4.731E-12  5.777E-12  6.757E-12  7.664E-12  8.501E-12  1.031E-11  1.179E-11
    12     6     2  1.862E-14  1.933E-14  2.080E-14  2.236E-14  2.400E-14  2.573E-14  2.754E-14  2.945E-14  3.145E-14  3.354E-14  3.573E-14  4.823E-14  6.349E-14  8.177E-14  1.033E-13  1.282E-13  1.567E-13  1.889E-13  2.249E-13  2.648E-13  3.086E-13  3.563E-13  4.079E-13  4.634E-13  5.227E-13  5.858E-13  6.526E-13  7.230E-13  7.969E-13  2.824E-12  5.316E-12  7.771E-12  1.001E-11  1.199E-11  1.373E-11  1.526E-11  1.660E-11  1.779E-11  2.022E-11  2.207E-11
    13     6     3  1.651E-13  1.706E-13  1.819E-13  1.936E-13  2.058E-13  2.184E-13  2.315E-13  2.451E-13  2.592E-13  2.737E-13  2.887E-13  3.709E-13  4.650E-13  5.707E-13  6.877E-13  8.155E-13  9.535E-13  1.101E-12  1.258E-12  1.422E-12  1.594E-12  1.773E-12  1.958E-12  2.149E-12  2.344E-12  2.543E-12  2.747E-12  2.953E-12  3.161E-12  7.386E-12  1.098E-11  1.381E-11  1.604E-11  1.781E-11  1.924E-11  2.043E-11  2.142E-11  2.227E-11  2.390E-11  2.508E-11
    14     6     4  2.376E-12  2.439E-12  2.566E-12  2.697E-12  2.830E-12  2.966E-12  3.104E-12  3.245E-12  3.389E-12  3.534E-12  3.682E-12  4.450E-12  5.258E-12  6.096E-12  6.954E-12  7.824E-12  8.698E-12  9.569E-12  1.043E-11  1.129E-11  1.212E-11  1.294E-11  1.374E-11  1.452E-11  1.528E-11  1.601E-11  1.673E-11  1.741E-11  1.808E-11  2.735E-11  3.198E-11  3.455E-11  3.614E-11  3.719E-11  3.793E-11  3.847E-11  3.889E-11  3.921E-11  3.978E-11  4.014E-11
    15     6     5  3.267E-11  3.335E-11  3.472E-11  3.609E-11  3.748E-11  3.887E-11  4.027E-11  4.167E-11  4.308E-11  4.448E-11  4.589E-11  5.293E-11  5.987E-11  6.663E-11  7.314E-11  7.937E-11  8.528E-11  9.087E-11  9.613E-11  1.011E-10  1.057E-10  1.099E-10  1.139E-10  1.176E-10  1.211E-10  1.243E-10  1.272E-10  1.299E-10  1.324E-10  1.566E-10  1.608E-10  1.604E-10  1.589E-10  1.573E-10  1.557E-10  1.543E-10  1.531E-10  1.521E-10  1.499E-10  1.484E-10
    16     7     1  2.542E-16  2.662E-16  2.916E-16  3.189E-16  3.483E-16  3.799E-16  4.138E-16  4.501E-16  4.889E-16  5.305E-16  5.749E-16  8.442E-16  1.207E-15  1.683E-15  2.297E-15  3.072E-15  4.035E-15  5.213E-15  6.635E-15  8.328E-15  1.032E-14  1.264E-14  1.532E-14  1.838E-14  2.186E-14  2.577E-14  3.014E-14  3.499E-14  4.034E-14  2.713E-13  7.306E-13  1.340E-12  2.018E-12  2.710E-12  3.385E-12  4.028E-12  4.631E-12  5.193E-12  6.425E-12  7.442E-12
    17     7     2  3.143E-15  3.266E-15  3.524E-15  3.797E-15  4.086E-15  4.392E-15  4.715E-15  5.057E-15  5.417E-15  5.796E-15  6.195E-15  8.514E-15  1.143E-14  1.503E-14  1.940E-14  2.462E-14  3.076E-14  3.791E-14  4.613E-14  5.549E-14  6.605E-14  7.786E-14  9.097E-14  1.054E-13  1.212E-13  1.384E-13  1.571E-13  1.772E-13  1.987E-13  9.131E-13  2.006E-12  3.241E-12  4.478E-12  5.651E-12  6.733E-12  7.720E-12  8.616E-12  9.427E-12  1.114E-11  1.251E-11
    18     7     3  1.672E-14  1.735E-14  1.867E-14  2.006E-14  2.153E-14  2.308E-14  2.471E-14  2.642E-14  2.822E-14  3.011E-14  3.210E-14  4.348E-14  5.754E-14  7.460E-14  9.493E-14  1.188E-13  1.465E-13  1.782E-13  2.141E-13  2.544E-13  2.993E-13  3.488E-13  4.030E-13  4.621E-13  5.259E-13  5.947E-13  6.682E-13  7.466E-13  8.299E-13  3.350E-12  6.833E-12  1.053E-11  1.408E-11  1.735E-11  2.029E-11  2.293E-11  2.530E-11  2.742E-11  3.183E-11  3.527E-11
    19     7     4  1.286E-13  1.332E-13  1.428E-13  1.528E-13  1.633E-13  1.742E-13  1.856E-13  1.974E-13  2.097E-13  2.224E-13  2.356E-13  3.088E-13  3.939E-13  4.909E-13  5.996E-13  7.196E-13  8.503E-13  9.913E-13  1.142E-12  1.301E-12  1.469E-12  1.644E-12  1.826E-12  2.013E-12  2.206E-12  2.404E-12  2.607E-12  2.812E-12  3.021E-12  7.296E-12  1.096E-11  1.383E-11  1.608E-11  1.787E-11  1.932E-11  2.051E-11  2.151E-11  2.235E-11  2.398E-11  2.516E-11
    20     7     5  1.813E-12  1.862E-12  1.964E-12  2.067E-12  2.174E-12  2.282E-12  2.393E-12  2.506E-12  2.622E-12  2.739E-12  2.859E-12  3.486E-12  4.155E-12  4.856E-12  5.584E-12  6.330E-12  7.087E-12  7.852E-12  8.617E-12  9.381E-12  1.014E-11  1.089E-11  1.162E-11  1.235E-11  1.306E-11  1.375E-11  1.443E-11  1.509E-11  1.574E-11  2.531E-11  3.060E-11  3.377E-11  3.583E-11  3.727E-11  3.832E-11  3.911E-11  3.974E-11  4.024E-11  4.114E-11  4.174E-11
